Dataset,Agent,PSNR,SSIM,LPIPS,BPP
kodak,JPEG_Q90,36.46809789509335,0.958368691958935,0.009872437454760075,2.69287109375
kodak,PNG,inf,1.0,0.0,14.506591796875
kodak,WebP,32.15415900320377,0.8993556309902315,0.05281870812177658,0.90673828125
kodak,AE,12.720293731251228,0.3854396308430639,0.7134299278259277,64.0
kodak,VAE,12.495609219514057,0.25088118372970974,0.723088800907135,256.0
kodak,NIC_Q1,26.07576051550984,0.6339447176395222,0.42850321531295776,0.95703125
kodak,NIC_Q3,28.136347598950376,0.7509568295580245,0.27714958786964417,2.36328125
kodak,NIC_Q5,31.011837112955728,0.8681554917097257,0.1010507121682167,5.75
kodak,ScaleHyperprior_q1,26.592551262741452,0.6593132895346328,0.4124300479888916,0.130859375
kodak,ScaleHyperprior_q3,29.43846820261106,0.7906572439967924,0.22100870311260223,0.349609375
kodak,ScaleHyperprior_q5,33.00080171798114,0.9026570339038531,0.07978618890047073,0.80224609375
kodak,GAN,24.309320210236848,0.6022111680138184,0.4820817708969116,6.0
kodak,SD_FP16,24.711399576361327,0.6220692885751952,0.06457778811454773,2.0
kodak,SD_INT8,16.771567717817042,0.42387396416561757,0.24739961326122284,0.5
kodak,JPEG_Q30,29.064034467879342,0.8892475979492306,0.055382393300533295,0.845947265625
kodak,JPEG_Q50,30.529120868441222,0.9177082894396821,0.03213223069906235,1.12158203125
kodak,JPEG_Q70,31.956821773778202,0.9370035637416742,0.018972815945744514,1.4793701171875
kodak,JPEG_Q90,35.65671626000323,0.968503516322269,0.005705478135496378,2.654296875
kodak,PNG,inf,1.0,0.0,13.505859375
kodak,WebP,31.881740100189738,0.9384743712827802,0.02930862456560135,0.8525390625
kodak,AE,14.369678023666097,0.3536571496315051,0.7526757717132568,64.0
kodak,VAE,13.929614899984886,0.24756905272033977,0.7548428773880005,256.0
kodak,NIC_Q1,25.35316175686144,0.7598816234120286,0.252593457698822,1.265625
kodak,NIC_Q3,28.735037558715554,0.8839254479923039,0.10979212820529938,2.91796875
kodak,NIC_Q5,32.165200078318236,0.9449716475052886,0.03224920481443405,6.0390625
kodak,ScaleHyperprior_q1,26.420656484932927,0.8052641942242521,0.21586693823337555,0.18798828125
kodak,ScaleHyperprior_q3,30.013233740795904,0.9051893969652033,0.09471319615840912,0.41552734375
kodak,ScaleHyperprior_q5,33.58212947046259,0.9545824302966133,0.03154057636857033,0.82177734375
kodak,GAN,23.623810432078063,0.6612863462234023,0.44109150767326355,6.0
kodak,SD_FP16,24.92376101002567,0.8035912821853829,0.05691267177462578,2.0
kodak,SD_INT8,19.50434449645647,0.5469392702844743,0.2664908468723297,0.5
kodak,JPEG_Q30,26.551057562218343,0.8846343665233324,0.0497049018740654,1.202392578125
kodak,JPEG_Q50,28.320313983524983,0.9160908961014632,0.027737105265259743,1.6011962890625
kodak,JPEG_Q70,30.120966354423985,0.9405341746565746,0.014378217980265617,2.13134765625
kodak,JPEG_Q90,34.409226528383925,0.9743861209644756,0.005047264508903027,3.7320556640625
kodak,PNG,inf,1.0,0.0,16.2513427734375
kodak,WebP,30.7197393730651,0.9479120318036519,0.02246209606528282,1.49951171875
kodak,AE,12.787306003304062,0.16131628887073332,0.8339322805404663,64.0
kodak,VAE,12.659215165192183,0.12946273276755788,0.816249668598175,256.0
kodak,NIC_Q1,21.921580435722866,0.7180552010430082,0.3012894093990326,1.83203125
kodak,NIC_Q3,24.99698165452694,0.8414495501783706,0.15116813778877258,4.08203125
kodak,NIC_Q5,28.58573080732633,0.9194780898985356,0.045868001878261566,8.8203125
kodak,ScaleHyperprior_q1,23.681913170942316,0.7871510745196596,0.22389745712280273,0.2919921875
kodak,ScaleHyperprior_q3,27.4513129741092,0.8910686988895119,0.08688165247440338,0.6748046875
kodak,ScaleHyperprior_q5,31.036425876991288,0.943932378390409,0.025740545243024826,1.3037109375
kodak,GAN,18.918509019757938,0.5113919721518724,0.5463833808898926,6.0
kodak,SD_FP16,20.735006251958964,0.6878037736970186,0.08110931515693665,2.0
kodak,SD_INT8,16.285616194340744,0.4529704648261809,0.2756127119064331,0.5
kodak,JPEG_Q30,30.842896358460997,0.8902825775825538,0.043348342180252075,0.6671142578125
kodak,JPEG_Q50,32.35301634408546,0.9177230580509663,0.0235502477735281,0.87158203125
kodak,JPEG_Q70,34.071659765275314,0.9398297507413518,0.01289066206663847,1.142333984375
kodak,JPEG_Q90,37.78873426050315,0.9681639374887897,0.0038365814834833145,2.0205078125
kodak,PNG,inf,1.0,0.0,11.977783203125
kodak,WebP,33.61087005930975,0.9326660002828898,0.02745799720287323,0.580322265625
kodak,AE,16.734866811188102,0.5458320368058064,0.6264044046401978,64.0
kodak,VAE,16.386971835444044,0.34387943932974246,0.6314835548400879,256.0
kodak,NIC_Q1,27.875172099502855,0.8293119197326567,0.17551866173744202,0.984375
kodak,NIC_Q3,30.760784648508583,0.8991487679040739,0.09855400025844574,2.1171875
kodak,NIC_Q5,34.33836513240405,0.9484064944223443,0.02943945862352848,4.35546875
kodak,ScaleHyperprior_q1,28.335303236764084,0.8401488096915996,0.17546942830085754,0.13037109375
kodak,ScaleHyperprior_q3,31.97957784617674,0.9139298902655616,0.08254443854093552,0.27783203125
kodak,ScaleHyperprior_q5,35.68214388478131,0.9559479235852741,0.025785965844988823,0.5478515625
kodak,GAN,25.018298900738216,0.7609788538178693,0.3555091917514801,6.0
kodak,SD_FP16,27.638446867913792,0.8472984022651029,0.028141845017671585,2.0
kodak,SD_INT8,20.19033914545243,0.6554962521122566,0.17927677929401398,0.5
kodak,JPEG_Q30,30.66405247079695,0.872158775266424,0.07433786243200302,0.70263671875
kodak,JPEG_Q50,32.15651098436116,0.9049919216283898,0.043895967304706573,0.9351806640625
kodak,JPEG_Q70,33.80147734987529,0.9284968669822486,0.021684177219867706,1.25732421875
kodak,JPEG_Q90,37.5758535268058,0.9639000229579023,0.007121346425265074,2.2933349609375
kodak,PNG,inf,1.0,0.0,12.7645263671875
kodak,WebP,33.420683493596655,0.9212789618364491,0.04520239308476448,0.677734375
kodak,AE,16.36580559883158,0.4748918898480759,0.7012372016906738,64.0
kodak,VAE,15.950460978167648,0.33473246428437725,0.6961685419082642,256.0
kodak,NIC_Q1,27.746426998151982,0.7728461144125568,0.3175966441631317,0.92578125
kodak,NIC_Q3,30.388638029297287,0.8655956439121932,0.1570391207933426,2.1484375
kodak,NIC_Q5,33.637960775399065,0.9316325178111228,0.052613817155361176,4.6171875
kodak,ScaleHyperprior_q1,27.93696797445035,0.7770387289875776,0.322710782289505,0.1240234375
kodak,ScaleHyperprior_q3,31.251399523685674,0.8760939471095662,0.14561252295970917,0.28955078125
kodak,ScaleHyperprior_q5,34.65184928334381,0.936116368709036,0.05773754417896271,0.60498046875
kodak,GAN,25.72560781893829,0.7347565422970822,0.4434465169906616,6.0
kodak,SD_FP16,27.2439991690361,0.8176289048271194,0.050488073378801346,2.0
kodak,SD_INT8,20.729914649068682,0.5827717857416714,0.24110400676727295,0.5
kodak,JPEG_Q30,29.227235281977137,0.8338862987122929,0.09096848219633102,0.7733154296875
kodak,JPEG_Q50,30.757810792971018,0.8751943358699842,0.05320838838815689,1.060302734375
kodak,JPEG_Q70,32.30770765630195,0.9060775933888339,0.027944602072238922,1.431884765625
kodak,JPEG_Q90,36.11016510997666,0.9536023196610905,0.008416980504989624,2.632568359375
kodak,PNG,inf,1.0,0.0,13.8458251953125
kodak,WebP,32.069240046385225,0.8945122495767878,0.04547986015677452,0.802978515625
kodak,AE,12.961741214550987,0.3573155049724808,0.7006275653839111,64.0
kodak,VAE,12.62985101974058,0.2720363650644871,0.6957619190216064,256.0
kodak,NIC_Q1,26.57951719401205,0.7173048162748742,0.3308117389678955,1.03125
kodak,NIC_Q3,28.974364142523257,0.8059343841657789,0.2296290546655655,2.390625
kodak,NIC_Q5,31.92587928829676,0.8879739505070838,0.0956362634897232,5.4140625
kodak,ScaleHyperprior_q1,27.02793997159205,0.7304074260651964,0.32533103227615356,0.13671875
kodak,ScaleHyperprior_q3,29.97707213605358,0.82314465134487,0.20086133480072021,0.33251953125
kodak,ScaleHyperprior_q5,33.22625205009674,0.900676740603553,0.09101156890392303,0.74609375
kodak,GAN,24.66690841009926,0.6621884681050056,0.42229464650154114,6.0
kodak,SD_FP16,25.31213221468212,0.7049813869989938,0.06377827376127243,2.0
kodak,SD_INT8,19.276438335792434,0.5191169706908988,0.16777299344539642,0.5
kodak,JPEG_Q30,31.45093648651325,0.8512427767168808,0.07327970117330551,0.6087646484375
kodak,JPEG_Q50,33.03692163481141,0.8871399235189285,0.03678954392671585,0.81689453125
kodak,JPEG_Q70,34.45164641167568,0.9140565419672276,0.02240907773375511,1.10107421875
kodak,JPEG_Q90,37.866751296001866,0.9538784957593931,0.0057266331277787685,2.047119140625
kodak,PNG,inf,1.0,0.0,12.4248046875
kodak,WebP,33.7337889118436,0.8922619450544608,0.05200742930173874,0.47412109375
kodak,AE,13.485022497421276,0.5685727549768917,0.6344349384307861,64.0
kodak,VAE,13.345696764162938,0.320555255848068,0.6587846875190735,256.0
kodak,NIC_Q1,29.171028385783565,0.7878482603134008,0.28136950731277466,0.86328125
kodak,NIC_Q3,31.76955708316659,0.8396270584757265,0.18702039122581482,1.80859375
